Pd,N,S1,S2,S3,S4
50%,1, 18%, 71%, 30%,133%
50%,3, 11%, 24%, 18%, 44%
50%,6,  6%,  8%, 10%, 15%
50%,9,  2%,  3%,  5%,  7%
70%,1,  7%, 20%, 11%, 36%
70%,3,  1%,  2%,  2%,  4%
70%,6,  0%,  1%,  0%,  1%
70%,9,  0%,  1%,  0%,  1%
90%,1,  1%,  2%,  1%,  4%
90%,3,  0%,  0%,  0%,  0%
90%,6,  0%,  0%,  0%,  0%
90%,9,  0%,  0%,  0%,  0%
